链接地址,标题,内容
https://www.xiaohongshu.com/explore/6458bdb1000000001300ba3b,📍武汉3天2夜600💰吃喝玩乐超全攻略来咯,一次说走就走的旅行✈️ 背后也是做好了充分的准备滴～ 到了武汉，走走停停都是风景🍃 本地人熬夜整理✨出来的这篇攻略，宝子们赶紧码住🙈哇～ - 📍武汉三天两夜行程安排👇🏻👇🏻 ✔️Day1⃣️ 山海关路过早——古德寺——江汉路步行街——武汉美术馆——汉口江滩（看江滩夜景、坐轮渡）——万松园宵夜 👉江汉路：购物🛍美食应有尽有，附近还有同兴里（古着一条街🔮）、黎黄陂路（超多文艺小店）郝梦龄路都可以去逛一下 👉古德寺：武汉zui特别宝藏寺庙🕍 欧式风格的建筑 👉汉口江滩：去看看武汉的夜景🌃 感受江城的魅力～晚上还有两江🚢灯光秀喔！ • ✔️Day2⃣️ 粮道街过早——昙华林（黄鹤楼）——湖北省博物馆——凌波门看日落——楚河汉街 👉粮道街：好吃的非常多😋，就是人比较多，很多都要排队🌠 👉 昙华林：新晋网红地昙华林💕很多文艺的店铺，适合散步休闲～ 👉湖北省博物馆：需要提前预约✅ 里面的编钟表演真的很不错❗️ 👉楚河汉街：购物吃美食！建议大家晚上去，夜景🌃很好看🥳 • ✔️Day3⃣️ 东湖——东湖落雁景区———汉秀剧场——武汉长江大桥 👉东湖：去东湖吸氧放松，坐热气球、粉色摩天轮🎡 再去落雁景区（武汉“小江南”🌿之称）打卡拍照超级出片📸 👉汉秀剧场：去看精彩的🌊水舞秀表演，浓郁的艺术文化，感受武汉不一样的城市气息👏 👉武汉长江大桥：来武汉一定要来走一走长江大桥，吹一吹江边的晚风🍃 - 🏠【住宿篇】 🧩武汉分为：汉口、武昌、汉阳三个区 🪐住在武昌会比较方便，大部分景点都在这边，而且🚗交通 便利 💎如果大家想吃东西方便的话，建议住在江汉路步行街、粮道街附近〰️这两个地方去哪里都很方便好吃的又多‼️ - 🌈【美食篇】 ✔️粮道街：🔥天天红油赵师傅热干面、油饼包烧麦、覃肥叔桂林米粉、柒个蛋烘糕、大连铁板鲜鱿鱼 ✔️江汉路:🔥 腿老大·中式炸鸡、鲍师傅、茶颜悦色、严老幺、甜蜜蜜、百香林糕点、矮子馅饼、小路易生煎 ✔️其他美食街:🔥武汉天地、玫瑰街、光谷广场、司门口、财大小吃街、湖经小吃街 - 🍃武汉大部分景点都是免费的，不来一趟真不知道武汉好玩好吃好看还划算😍需要宝子们亲自来体验💓         @走走薯 @生活薯
https://www.xiaohongshu.com/explore/6434cb56000000001300df27,武汉旅游两天一晚攻略来了,武汉真的很大，建议大家一个区一个区的玩，地铁非常方便哦
https://www.xiaohongshu.com/explore/645c62fe00000000130330c2,武汉一日游：黄鹤楼🛕及其周边,🥣水陆街/大成路：过早 	 东湖📍辛亥革命博物馆、辛亥革命武昌起义纪念馆（红楼）：相隔一条街，可以一起参观。周二到周日9:30、10:30、14:30、15:30两个馆都会有免费讲解，推荐听听。 	 📍黄鹤楼（东门进）：自古享有“天下江山第一楼”和“天下绝景”之称，主楼通高51.4米，外面看有5层，内部实际有9层。还是很推荐上去看看的。 除了一座主楼外，景区内还藏有80多个景点！全部逛逛要2-3个小时 「千年吉祥钟」🔔，30块可以撞9响，传说在此撞钟，撞9下便能收获平安健康。 「岳飞像」🗿：岳飞一生4次北伐，有七年时间驻军在武汉。 「紫薇苑」🌳，园内有两棵被列为保护古树名木的紫薇，其中一棵已有390多岁。 「鹅池」和「诗碑廊」🪦，这里展示着历代名家在此留下的墨宝。 白天黄鹤楼门票 🎫 成人70元/人 学生35元/人 「网红同款黄鹤楼雪糕」🍦 15元 白天开放时间⌛️ 4月-10月 8:00-18:00 11月-3月 8:00-17:00 （它提前半个小时就会催离场，注意好时间） 夜间开放时间⌛️ ： 《夜上黄鹤楼》行浸式光影演艺体验 第一场19:30-21:00 第二场20:30-22:00 成人118元、儿童60元、学生70元🎫 	 🥣户部巷 粮道街：就在黄鹤楼边上，可以顺路去打个卡，随意吃点。 	 📍长江大桥：“万里长江第一桥”，很推荐在上面骑行🚴，桥上是车辆川流不息，桥下是江水滔滔。 	 📍晴川阁：跨过长江大桥就是晴川阁，若有时间也可以去看看。 	 📍鹦鹉洲长桥大桥：适合拍夜景。 	 🥣万松园：去吃点夜宵
https://www.xiaohongshu.com/explore/6422a70a000000001203db66,武汉 古德寺,拍照好看的嘞就是人很多好多美女
https://www.xiaohongshu.com/explore/647327980000000013014aca,武汉真的好好吃😭一顿也没踩雷！！ 附攻略！,武汉真的是座很适合学生党游玩的城市！好吃好逛！一天能吃6顿…❤️分享一些我的旅游感受和建议…无广！！！ - ✅出行：几人行建议出门滴滴🚗算下来更便宜也方便✌️要坐地铁刷zfb就可以！！ ✅住宿：不建议江汉路步行街附近，很多照骗！环境差！推荐楚河汉街附近~ 第1⃣️晚我们住江汉路就踩了个巨雷！房子很破旧脏…将近400一晚的民宿，某团还写着5🌟好评！(各位姐妹别踩雷！） 第2⃣️晚我们住楚河汉街附近，环境好多了，但周围没吃的，想住舒服点可以选这边，出行打个滴滴也不贵，去景点也不远。 - ✅美食： 📍水塔街：江汉路步行街附近，整条街很热闹很多小吃，凌晨还营业！！ 🌟苹果妹冰粉，李氏酥饺，熬四烧烤，鞠氏黑芝麻糊，鱼糊粉，三鲜豆皮，汉堡炸鸡！！ 🌟附近还有个王记牛杂馆（连吃了3天生烫牛肉粉，真的好爱！热干面也不错，24小时🈺️业） 🌟对面还有几家店👌：涂记油酥饼，片皮鸭，干煸辣子鸡…这条街吃的挺多！ - 📍山海关路：来武汉过早可以去这里，有很多开了好多年的老店，生意都蛮好的味道也不错。 🌟李记鸡冠饺(糯米鸡也好吃，都只要3r） 🌟燕子煨汤(过早标配：莲藕汤配油条） 🌟双黄牛肉面(明星都来打卡过的网红面馆） 🌟毛记汽水包(各种馅，味道还不错） 🌟冷记卤品(本地人推荐的，红肠，肥肠，酸豆角，酱板鸭都不错，买了带回家吃！） - ⭐️湖北菜：肖记公安牛肉鱼杂，大中华酒楼（武汉朋友带路去的！真的好好吃不踩雷！！） 🌟宵夜：肥肥虾庄（武汉吃虾印象最深的就是这家！吃到吮手指！）红孩儿烧烤（本地人都爱去吃的汉味烧烤好好吃呀！）烫锅鲜砂锅串串（8毛一串便宜好吃！！） - ❣️一些游玩建议： 1⃣️去黄鹤楼定位地铁C出口或者得胜桥！ 2⃣️进武汉大学要记得提前三天预约！ 3⃣️轮渡别晚上10点后去，夜景不好看！！ 4⃣️天气好可以去江滩，黎黄坡路~走走很舒服！ 5⃣️古德寺人很多但拍照还是挺出片的~ 6⃣️步行街都大同小异，建筑还蛮好看的📷 7⃣️起不来没关系，12点之前都可以过早！ 8⃣️尽量避开周末去，人少很多体验感也好些 9⃣️粮道街网红店容易踩雷，排队人多不建议去！ 🔟不要住江汉路步行街附近民宿！环境不行！
https://www.xiaohongshu.com/explore/646efa4a0000000011010c47,武汉旅游👉去了八次后，熬夜总结‼️,暑假去哪儿玩，总要去一趟武汉吧，刚从武汉回来整理了一份保姆级旅游攻略，踩过的坑实在是太多了希望能帮到大家排坑避雷！ 交通: 地铁:在武汉乘坐地铁十分方便，在ZFB搜索&quot;乘车码&quot;就可以很便捷的乘坐地铁，。 飞机:想更快到达武汉的朋友选择乘坐飞机也是一个很好的选择，飞机可以到天河机场，机场有2号线，很方便到各个景点。 高铁:做高铁可以尽量选择汉口站哦，它离市区最近。 🌞天气 6-7月份的天气比较热哦 ，怕热的宝宝要注意防晒，可以带些冰凉贴和小风扇降暑哦，也可以带些藿香正气水以免中暑哦 	 ❗️必备物品 身份证、银行卡、驾照、学生证 洗面奶、牙刷牙杯、一次性洗脸巾/浴巾、防晒喷雾 手机、充电宝、耳机、自拍杆、三脚架等 天气炎热一定要带降暑的哟，以免中暑就不好啦 	 希望大家旅途愉快哦，有什么不懂的可以踢踢我哦
https://www.xiaohongshu.com/explore/647c9cec0000000027003103,每天都不一样的武汉｜旅游攻略,两天的行程安排，每天三万步 特别喜欢东湖绿道～比较可惜的是去的时候多云没有看到落日 凌波门日出要注意看天气和日出时间 黄鹤楼的夜景特别美 坐轮渡要冲去二楼
https://www.xiaohongshu.com/explore/647dabd8000000001300f3f7,在武汉三天都吃了什么🍜（最后附有旅游攻略）,1⃣️三镇民生甜食馆（每个都很好吃，便宜不踩雷） 2⃣️刘一壶兰陵藕粉（平平无奇好吃） 3⃣️王记生烫牛杂面馆（粉感很特别，很好吃） 4⃣️小秋水饺（热干面与别家不同） 5⃣️家阳赵师傅油饼包烧麦（排队速度很快！） 6⃣️7⃣️路上随便买的面窝、鸡冠饺、糯米鸡（必吃） 8⃣️肥肥虾庄（武汉网红店，可吃） 9⃣️小民大排档（每个都很好吃！） 1⃣️0⃣️双黄牛肉面馆（本次旅途最惊艳的，最爱的面馆！！！！！！！） 1⃣️1⃣️燕子煨汤（来武汉必吃莲藕排骨汤） 	 🙌以下是本次旅游的详细攻略❗️ 武汉旅游攻略（6.3-6.5） 🚶‍♀️Day1⃣️ 💨古德寺➡️山海关路➡️黎黄陂路➡️江汉路步行街➡️汉口江滩   （古德寺 江汉关 青岛路📷） 🚶‍♀️Day2⃣️ 💨粮道街过早➡️户部巷➡️ 黄鹤楼（可去可不去）➡️湖北省博物馆➡️湖北省美术馆➡️楚河汉街➡️夜景 昙华林➡️拍夜景黄鹤楼 🚶‍♀️Day3⃣️ 只有吃，记得买泸溪河、佳哥手作 🌟必打卡美食🌟（按路线和地标分） 🚇地铁一号线：王记生烫、汪记鲜鱼糊（13:00）、三镇民生（19:30）、双黄牛肉面 🚇地铁二号线：味美香豆皮（13:30）、阿宝生煎包、美猴王生烫、严老幺烧麦（13:00）、肥肥虾庄 🚇地铁三号线：余艳梅拌面世家 🚇地铁五号线：小秋水饺（16:00）、赵师傅油饼包烧麦（15:00）、小民大排档 🚇地铁六号线：江氏糯米鸡（14:00）、熬四烧烤 🚇地铁七号线：一元路怪味烧饼、夏氏砂锅 🍜按地标分： 汉口（武汉天地、黎黄陂路、万松园、循礼门、江汉路happy站台、前进五路水塔街等） 1⃣️前进四路过早：严老幺烧麦 2⃣️山海关路过早：汪记鲜鱼糊、李记鸡冠饺、双黄牛肉面、毛氏汽水包、徐氏糯米包油条 3⃣️兰陵路粉面：王记生烫、肖记顶好牛肉面 4⃣️水塔街小吃：李氏酥饺、5路汉堡炸鸡、鞠氏黑芝麻糊、熬四烧烤、苹果妹冰粉等、happy站台 一代烤翅王 5⃣️武汉二中：周一野 武昌（粮道街、司门口户部巷、楚河汉街、关谷等） 1⃣️大成路：小秋水饺、李记鲜油糊汤粉配油条 2⃣️粮道街：赵师傅油饼包烧麦、柒个蛋烘糕
https://www.xiaohongshu.com/explore/64539fca00000000130337c4,外地人去武汉必打卡的一万平餐厅🔥人均80,五一来武汉玩，头一顿饭打卡一家收藏里很久的老武汉地标沉浸式餐厅 这家餐厅有6层楼，各种武汉城市地标🏠都复刻在餐厅里，随便哪个角度拍都很出片📷 菜品点了招牌拼烧，里面食材很丰盛，有鸡肉，甲鱼，牛蛙，鳝鱼和牛鞭花！味道是很浓郁的酱烧味儿，搭配上铁盒炒饭真的贼香贼下饭！ 还有肉质鲜嫩的黑鸭也特别好吃！麻辣回甜，回味无穷！ 我们几个人点了一桌算下来差不多人均80左右，就能吃到地道湖北菜！还是很值得打卡滴！
https://www.xiaohongshu.com/explore/647f49e0000000000800ee5b,武汉旅游穷游版‼️2⃣天1⃣夜600元🔥,武汉本地人带你玩武汉! 2023年武汉旅游zui新攻略 点赞收藏轻松玩不踩雷 	 📝武汉三天两夜行程安排 Day1⃣ 山海关路过早➡古德寺➡江汉路步行街 ➡武汉美术馆➡汉口江滩(看江滩夜景、坐轮渡)➡万松园宵夜 江汉路:购物美食应有尽有，附近还有同兴里(古着一条街)、黎黄陂路(超多文艺小店)郝梦龄路都可以去逛一下 古德寺:武汉zui特别宝藏寺庙欧式风格的建筑 汉口江滩:去看看武汉的夜景感受江城的魅力~晚上还有两江灯光秀喔! Day2⃣ 粮道街过早➡昙华林(黄鹤楼)➡湖北省博物馆➡凌波门看日落🌄➡楚河汉街 	 粮道街:好吃的非常多	，就是人比较 多，很多都要排队 昙华林:新晋网红地昙华林	很多文艺 的店铺，适合散步👫休闲~ 湖北省博物馆:需要提前预约√里面的编钟表演真的很不错! 楚河汉街:购物吃美食!建议大家晚上去，夜景幽很好看么 Day 3⃣ 东湖➡东湖落雁景区➡汉秀剧场➡武汉长江大桥 东湖:去东湖吸氧放松，坐热气球、粉色摩天轮🎡…再去落雁景区(武汉“小江南”兰之称)打卡拍照超级出片 汉秀剧场:去看精彩的C水舞秀表演，浓郁的艺术文化，感受武汉不一样的城市气息 武汉长江大桥:来武汉一定要来走一走长江大桥，吹一吹江边的晚风 🏠关于住宿 住在江汉路💰150-300/间 市中心 地铁换乘线 交通方便 吃逛丰富 🚕对关于交通 市内出行地铁🚉为主，大多数地方地铁直达且不堵车高铁🚄动车汉口站、武昌站、武汉站，一天河机场都有地铁直达 司东湖可以骑共享单车电动车、观光车、游船一轮渡:1.5💰元 刷zfb公交即可 🍱关于美食 干饭地:江汉路 粮道街 山海关路万松园 汉街(财大小吃街、湖经小吃街、曙光夜市距离较远不建议游客特地去打卡) 过早种类很丰富，九省通衢包容性强美食酸甜辣口味都有。 我在很用心的分享真正实用的旅游攻略，挖掘小众宝藏旅行地，欢迎关注支持。        @小红书成长笔记 @小红书成长助手
https://www.xiaohongshu.com/explore/644db812000000001300d1d2,大二学生极限穷游武汉|两天一夜全包500💰,一场说走就走的旅行 到了武汉，走走停停都是风景 	 武汉两天一夜攻略🗺️👇🏻👇🏻👇🏻 ✔1月26日🌞 早上到达武汉站，地铁🚇半个小时到达江汉路步行街〔梦圆宾馆108💰〕 路线：武汉美术馆——＞🚲黎黄陂路——＞🚗古德寺——＞🚲  江汉路步行街——&gt;🚲水塔街——&gt;🚲江汉关——&gt;武汉关轮渡看夜景——&gt;武汉长江大桥 👉武汉美术馆：打卡武汉热气球logo，特别出片，发朋友圈的首选地📸 👉黎黄陂路：武汉必去的打卡地，街道，建筑，氛围感十足。那一片是旧俄租界和历史事迹馆，浓郁的历史气息 👉古德寺：是缅甸哥特式建筑，有一种异域美，夏天荷花盛开巨好看，我在寺庙也祈福啦 👉武汉长江大桥：桥底居然是木头，我很震惊当时国家的技术，这么多年啦武汉长江大桥依旧运行，而且美观实用 👉江汉步行街：购物美食小商品应有尽有，茶颜悦色 👉水塔街：物美价廉，疯狂炫小吃，热干面只要五块钱，糊米酒三块钱，没有踩雷🍧🍲🍺 👉江汉关：武汉的标志，人有点多，我看见特别激动💗，跑过去拍照📸特别好看 👉江岸：风吹起来很舒服，走走停停，看着武汉的霓虹灯闪烁 ❌千万不要去步行街的美食城，都是宰客的地方，且美食全国都有哦 ❌古德寺中午光线太强不适合拍照哦 ❌出行的话距离短的共享单车特别方便哦 	 ✔1月27日🌞🌞 路线：🚇东湖——＞🚲湖北博物馆——＞🚲武汉大学——＞🚲黄鹤楼（灯光秀）——&gt;粮道街 👉湖北博物馆：提前预约了，里面的编钟表演真的很不错 👉东湖：东湖骑上小电驴，欣赏美景真的很不错，还可以打卡摩天轮🎡🎡🎡🎡 👉武汉大学：武大巨好看 👉黄鹤楼：我在网上推荐的司门口地铁站🚇和武汉大桥拍的黄鹤楼，一分钱没有花，拍到了和黄鹤楼的合影 👉粮道街:比较有名的小吃有几家在那边，可以试试看 ❌湖北博物馆要提前预约，且不退票改不了时间 	 两天一夜500💰 高铁🚅路费，吃饭，住宿一百 武大的街头处处是风景，景美人更美，被当地人的热情感动，在厕所等待期间，环卫叔叔给我拿了椅子 六月等待武汉夏日绝美落日 武汉我会再去的！
https://www.xiaohongshu.com/explore/642d7bc60000000013007d47,再也不想去武汉玩了,因为去了就不想回来上课了   📝第一天去了江汉路 黄鹤楼 江汉博物馆 武汉博物馆 黎黄陂街 古德寺 （黄鹤楼木有上去 所以这里没有放照片 晚上的灯光还可以 拍了一张黄鹤楼的照片） 🗺️最好第一天去 📍江汉路（还可以坐船 白天1.5💰一人晚上10块） 📍江汉博物馆 📍黎黄陂路 📍武汉博物馆 📍西北湖 📍晴川阁 📍武汉美术馆 （有两个 一个在江汉路那边 一个在琴台 ） 🍜（晚上江汉路附近还有一个夜市 小红书一搜就能找到 我忘了是什么夜市 不过在那买了阿宝生煎 排队的人很多 排了半个小时才买到 不过很好吃 10块钱一份 8个 很多人排队） 	 🎫美术馆和晴川阁要提早预约 还有博物馆也要提前预约 直接微信公众号搜索就好了 	 以上是江的西边可以玩的地方 	 第二天可以去： 📍黄鹤楼 📍户部巷 📍粮道巷 📍长江大桥 📍东湖 📍武汉大学 	 这些是江的东边可以玩的地方 	 黄鹤楼 人文气息浓厚 可以在美团上买票成人70 小孩老人学生半价35 	 🌮从黄鹤楼下来就是户部巷和粮道巷 里面有很多吃的 很多都是20一份 比如说那个拇指煎包就是20一份比较少 很小一碗 还有15块的豆皮 三鲜豆皮 感觉味道还可以就是量太少了 15块可以在江汉路一家老牌的豆皮店买6片（一整盒豆皮）但是在户部巷只能买到3片 而且15块买的还是牛肉的 在户部巷只能买到三鲜的 三鲜豆皮江汉路那个店的价格好像是8块钱一份（6片）牛肉的豆皮十几块 但是吃的东西会有很多很多 可以在户部巷吃也可以去江汉路吃 	 🔆东湖的话一定要天气好的时候去 东湖：（地铁站🚇梨园） 🚴里面可以骑车 景区内有哈啰电动车 还有那种可以扫码的自行车 骑车的人很多但是从景区的门进入骑完全程需要6个多小时 实在是太久了 🚞所以我们选择了坐观光车（一人40）单程30往返40 里面很大 风景很美 因为去得比较迟 所以没去落雁岛 还是比较可惜的 看网上它5点30关门 🌸 所以就直接去了樱花园 感觉没有很大 那里面的氛围灯就很奇怪 绿的 蓝的 黄的 橘的 紫的 什么颜色的都有 个人感觉没有那么好看 看到了好多发着绿光的树 很阴间 打卡的那个塔下面好多人拍照 所以我只拍了景 没有拍人的照片 🏫武汉大学 武汉大学没有去 因为这个需要提前3天预约
https://www.xiaohongshu.com/explore/641a7809000000000800d95b,吃完武汉这45种美食，你就是0.75个武汉人！,武汉的人间烟火里，过早一定是它的美食主编。毕竟在武汉，有过早的地方，就有江湖，就是烟火人间 	 今年春天我又一次从武汉吃回来，说真的，在这里的每一顿都让我挑花了眼，吃撑了胃，反复横跳，就是舍不得离开那一条条让人兴奋的美食街巷 🔹🔹🔹 这次我🍜整理了4⃣️5⃣️种武汉美食，95%是我亲测，5%是和本地人闲聊知道的 	 如果你正打算去武汉尝一口过早的人间烟火气，这里万食俱备🌟记得收藏 🔹🔹🔹 ⭕云集美食宝藏街 答应我❌不要为了吃去户部巷，好么？ 	 武汉的美食街巷✅双手+双脚都数不过来，尤其是过早，粮道街、吉庆街都不够烟火气，下面这8⃣️条才是武汉人奔赴生活的起始点 	 📍山海关路、胭脂路、一元路、大成路、瑞安街、兰陵路、宝裕路、玫瑰街 🔹🔹🔹 🍜江岸区美食 📍刘记三狗牛肉面馆📍蒋婆抄手📍王记生烫牛杂面馆 📍三镇民生甜食总店📍汪记鲜鱼糊汤粉总店 📍燕子煨汤📍毛氏汽水包📍李记鸡冠饺📍陶仙居 📍双黄牛肉面馆📍徐氏糯米包油条📍王师傅豆皮馆 📍严老幺烧麦📍老田记面馆📍淘气牛杂馆📍德华楼 📍一品红牛肉面馆📍武昌重油烧梅店总店 📍一元路怪味烧饼📍袁大头包子📍郑记牛肉面 📍融厨湖北菜 🔹🔹🔹 🍜武昌区美食 📍建建枯豆丝📍罗氏面窝📍小程早点 📍袁氏米粑发糕📍龚太婆牛肉粉面馆📍来菜 📍昌汇糯米包油条📍小秋水饺总店📍丽华早点 📍熊太婆原汤水饺📍家阳赵师傅油饼包烧麦 🔹🔹🔹 🍜其它区美食 📍仙桃家常菜馆📍腿老大·中式炸鸡📍江氏糯米鸡 📍熊腊生热干面馆📍前前烤虾📍老居巷汤包 📍曾记臻品烤鸭脖📍靓靓蒸虾总店📍七七饺子 📍罗氏热干牛肉面总店📍江汉路煎包一绝 🔹🔹🔹 武汉人的过早，对我来说，那就是从早过到晚，一个月不重样不是骗人的。天生江湖豪情的他们，吃的是烟火，品的是人间 	 💟我是莉漫游，跟着我追逐风味的脚步，跨越山海之间，看尽红尘万千，邂逅漫游奇遇 #你会以过早之名去一次武汉吗？            @吃货薯
https://www.xiaohongshu.com/explore/6471536a000000002702b4d2,大二特种兵式穷游武汉两天💰400真实攻略,总要去武汉吃一碗美味的热干面，吹一吹长江的晚风 🚇出行：公交地铁，支付宝点击“出行”，绑定信息，直接扫码即可，很方便快捷 🏨住宿：我住的青年旅舍，在江汉路附近，附近地铁公交很方便，可以住在江汉路附近 旅游路线： 🌈Day1古德寺-粮道街-昙华林-黄鹤楼-户部巷-武汉长江大桥-轮渡-江汉路 🌈Day2黎黄陡路-鹦鹉州长江大桥-东湖-武汉大学-中国地质大学-黄鹤楼（夜景） 1⃣️古德寺：免费，从武昌站乘坐🚇7号线在香港路地铁站转🚇3号线，在罗家庄地铁站下，🚶步行一公里可达，异域风寺庙，拍照很出片，喜欢拍照📷的一定不能错过 2⃣️粮道街：免费，🚇3号线在香港路转🚇轨道7号线，在小东门地铁站下车，步行🚶‍♂️可达，可以去过早，超多美食🍜，可以一一打卡！ 3⃣️昙华林：免费，从粮道街步行🚶‍♂️到昙华林，点一杯茶颜悦色🥤，悠闲地散步，探索巷子中文艺小店，📷拍照打卡路边的商店，很出片 4⃣️黄鹤楼：学生票35，成人票70，乘坐🚇轨道5号线，在司门口黄鹤楼地铁站下车，步行可达，⚠️地铁🚇五号线是无人驾驶，可以在车头或者车尾拍照。黄鹤楼一共五层，在楼上可以看到武汉长江大桥！ 5⃣️户部巷：免费，从黄鹤楼下来步行可达，有很多美食 6⃣️武汉长江大桥：免费，从户部巷穿出来，步行🚶‍♂️可达长江大桥 7⃣️轮渡：1.3元，从武昌区可达江汉区，尽量在日落之前上船，可以拍到很美的日落 8⃣️江汉路：免费，武汉最繁华的地带，美食超多，景色优美 9⃣️黎黄陡路：免费，住在江汉路附近，步行🚶可达，文艺复古的街道，有百年的巴公房子，拍照打卡很出片 🔟鹦鹉州长江大桥：免费，地铁🚇6号线在马鹦路地铁站下车，步行可达，可以步行到顶层，拍照打卡，红色的大桥横跨整个长江，很壮观 1⃣️1⃣️东湖梨园景区，免费，乘坐🚇地铁4号线在岳家嘴站转🚇地铁8号线，在梨园地铁站下车，步行可达！租电动车，挺贵的，二十分钟9.9元，东湖很大，景色也超级美！值得去！ 1⃣️2⃣️武汉大学：需要校内的人预约，或者黄牛 粮道街 昙华林 户部巷 江汉路 1⃣️武汉热干面，感觉粮道街很多家都很好吃 2⃣️蛋酒 4⃣️茶颜悦色5⃣️豆皮
https://www.xiaohongshu.com/explore/647b4226000000001301608f,学生党穷游武汉🔥三天两夜保姆级旅游攻略。,"在网上看见一个热门话题： 年轻是该存钱还是该去旅行？ 个人观点：应该权衡利弊！旅行跟存钱都挺重要的 年轻旅游开阔眼界。年轻时通过旅游可以开阔视野,对不同的风土人情和文化有所了解,这有利于培养胸怀开朗的世界观✅ - 【武汉热门景点】 ✅粮道街 ✅古德寺 ✅江汉路（江汉关） ✅黄鹤楼✅长江轮渡 ✅黎黄陂路✅湖北省博物馆 ✅东湖✅琴台美术馆 - 【出行准备】： 🪪证件类: 身份证、学生证等优惠证件 - ⌚️电子设备类: 手机、相机📷、耳机、充电宝、充电器 - 👔衣物类: 根据实时天气☁️选衣，出行前一两天查好天气 - 🧴护肤/化妆类： 护肤品、防晒霜、面膜、卸妆水 - 🗝️其他类: 肠胃药💊、消食片、驱蚊香、口罩、雨伞 	 【🚶🏼路线参考】 第一天古德寺➡️武汉天地➡️汉口江滩➡️黎黄陂路➡️武汉美术馆➡️保成路夜市 - 第二天粮道街➡️得胜桥小区➡️户部巷➡️江汉路步行街➡️黄鹤楼 - 第三天龟山风景区➡️晴川阁➡️鹦鹉洲汉➡️阳桥梁主题公园➡️港澳台风情街 - 第四天湖北省博物馆➡️机场✈️｜高铁站🚄 我们的旅程结束啦~青春的旅行没有结束🔚只是短暂的回归生活与工作~我们下次见面啦 - 武汉 武汉旅游攻略 武汉樱花 武汉美食 武汉酒店 武汉好玩的地方推荐 武汉特产 武汉市文化和旅游局 武汉长江大桥 -"
